wkt_geom,fid,field_1,station_id,date_from,date_to,altitude,latitude,longitude,name,state,dtm-altitude
Point (11.38879999999999981 50.40019999999999811),73,912,5017,1/1/1948,12/31/2021,633,50.4002,11.3888,Teuschnitz,Bayern,633.26
Point (12.35420000000000051 49.85759999999999792),74,917,5046,1/1/1967,12/31/2021,501,49.8576,12.3542,Tirschenreuth-Lodermühl,Bayern,499.97
Point (12.53960000000000008 48.03110000000000213),75,937,5111,1/1/1915,12/31/2021,560,48.0311,12.5396,Trostberg,Bayern,557.89
Point (10.19149999999999956 49.57410000000000139),76,945,5149,1/1/1937,12/31/2021,306,49.5741,10.1915,Gollhofen,Bayern,306.28
Point (12.18440000000000012 49.66620000000000346),77,979,5397,1881-01-01,12/31/2021,440,49.6662,12.1844,Weiden,Bayern,439.46
Point (11.69459999999999944 48.40240000000000009),78,982,5404,1885-01-01,12/31/2021,477,48.4024,11.6946,Weihenstephan-Dürnast,Bayern,477.91
Point (10.93079999999999963 49.01149999999999807),79,992,5440,1879-01-01,12/31/2021,439,49.0115,10.9308,Weißenburg-Emetzheim,Bayern,438.89
Point (11.15760000000000041 47.88269999999999982),80,1006,5538,1/1/1920,12/31/2021,551,47.8827,11.1576,Wielenbach (Demollstr.),Bayern,549.16
Point (9.95759999999999934 49.77040000000000219),81,1035,5705,1881-01-01,12/31/2021,268,49.7704,9.9576,Würzburg,Bayern,261.33
Point (10.9847999999999999 47.42099999999999937),82,1049,5792,8/1/1900,12/31/2021,965,47.421,10.9848,Zugspitze,Bayern,2940.11
Point (13.23850000000000016 49.02799999999999869),83,1051,5800,1/1/1998,12/31/2021,615,49.028,13.2385,Zwiesel,Bayern,614.72
Point (13.35319999999999929 48.54509999999999792),84,1059,5856,1/3/1997,12/31/2021,476,48.5451,13.3532,Fürstenzell,Bayern,476.87
Point (12.46979999999999933 47.67540000000000333),85,1069,5941,1/1/1938,12/31/2021,686,47.6754,12.4698,Reit im Winkl,Bayern,685.51
Point (10.60849999999999937 49.2248999999999981),86,1080,6158,7/1/1999,12/31/2021,454,49.2249,10.6085,Weidenbach-Weiherschneidbach,Bayern,454.3
