"station_id","date_from","date_to","altitude","latitude","longitude","name","state","geometry"
989,"2005-02-01","2022-09-07",46,51.5765,6.7849,"Dinslaken","Nordrhein-Westfalen","0101000020E610000088855AD3BC231B406F1283C0CAC94940"
1024,"2006-08-01","2022-09-07",37,51.1157,6.851,"Dormagen-Zons","Nordrhein-Westfalen","0101000020E61000008195438B6C671B40D712F241CF8E4940"
1046,"2004-10-01","2022-09-07",72,51.7585,7.7528,"Drensteinfurt","Nordrhein-Westfalen","0101000020E610000017B7D100DE021F400C022B8716E14940"
1078,"1995-09-01","2022-09-07",37,51.296,6.7686,"Düsseldorf","Nordrhein-Westfalen","0101000020E610000089D2DEE00B131B40D9CEF753E3A54940"
1241,"2006-12-01","2022-09-07",128,52.15,8.5226,"Enger","Nordrhein-Westfalen","0101000020E61000007AC7293A920B21403333333333134A40"
1246,"2015-08-01","2022-09-07",104,51.8418,8.0607,"Ennigerloh-Ostenfelde","Nordrhein-Westfalen","0101000020E610000002BC0512141F2040EBE2361AC0EB4940"
1300,"2004-06-01","2022-09-07",351,51.254,8.1565,"Eslohe","Nordrhein-Westfalen","0101000020E6100000E3A59BC4205020408D976E1283A04940"
1303,"1995-09-01","2022-09-07",150,51.4041,6.9677,"Essen-Bredeney","Nordrhein-Westfalen","0101000020E6100000575BB1BFECDE1B4024287E8CB9B34940"
1327,"2004-08-01","2022-09-07",147,50.7119,6.7905,"Weilerswist-Lommersum","Nordrhein-Westfalen","0101000020E6100000B6F3FDD478291B40DE02098A1F5B4940"
1590,"2003-07-01","2022-09-07",37,51.4942,6.2463,"Geldern-Walbeck","Nordrhein-Westfalen","0101000020E6100000EA04341136FC184073D712F241BF4940"
1595,"2012-10-01","2022-09-07",91,51.5762,7.0652,"Gelsenkirchen-Buer","Nordrhein-Westfalen","0101000020E6100000FBCBEEC9C3421C4044FAEDEBC0C94940"
1766,"1995-09-01","2022-09-07",48,52.1344,7.6969,"Münster/Osnabrück","Nordrhein-Westfalen","0101000020E610000061545227A0C91E408C4AEA0434114A40"
2027,"2006-06-01","2022-09-07",63,51.9753,8.2094,"Harsewinkel","Nordrhein-Westfalen","0101000020E610000097900F7A366B2040F7E461A1D6FC4940"
2110,"2003-01-05","2022-09-07",57,51.0411,6.1042,"Heinsberg-Schleiden","Nordrhein-Westfalen","0101000020E610000009F9A067B36A1840CCEEC9C342854940"
2254,"2005-06-01","2022-09-07",46,52.2396,7.6449,"Hörstel-Riesenbeck","Nordrhein-Westfalen","0101000020E6100000F8C264AA60941E40910F7A36AB1E4A40"
2473,"2004-12-01","2022-09-07",76,50.9316,6.3431,"Jülich (Kläranlage)","Nordrhein-Westfalen","0101000020E6100000C8073D9B555F1940107A36AB3E774940"
2483,"1995-10-12","2022-09-07",839,51.1803,8.4891,"Kahler Asten","Nordrhein-Westfalen","0101000020E61000007CF2B0506BFA204002BC051214974940"
2497,"2004-08-01","2022-09-07",505,50.5014,6.5264,"Kall-Sistig","Nordrhein-Westfalen","0101000020E61000002575029A081B1A40711B0DE02D404940"
2629,"2004-07-01","2022-09-07",46,51.7612,6.0954,"Kleve","Nordrhein-Westfalen","0101000020E61000005227A089B06118408CDB68006FE14940"
2667,"1995-09-01","2022-09-07",92,50.8646,7.1575,"Köln-Bonn","Nordrhein-Westfalen","0101000020E6100000E17A14AE47A11C40910F7A36AB6E4940"
2810,"2006-12-01","2022-09-07",150,51.9446,8.7749,"Lage, Kreis Lippe-Hörste","Nordrhein-Westfalen","0101000020E61000003F575BB1BF8C21409BE61DA7E8F84940"
2947,"2006-10-01","2022-09-07",286,51.1333,8.0348,"Lennestadt-Theten","Nordrhein-Westfalen","0101000020E610000036CD3B4ED1112040454772F90F914940"
2968,"2008-12-01","2022-09-07",43,50.9894,6.9777,"Köln-Stammheim","Nordrhein-Westfalen","0101000020E6100000613255302AE91B40CA54C1A8A47E4940"
2999,"2004-07-01","2022-09-07",55,52.1211,7.8699,"Lienen-Kattenvenne","Nordrhein-Westfalen","0101000020E61000005F29CB10C77A1F40D6C56D34800F4A40"
3028,"1995-09-01","2022-09-07",157,51.7854,8.8388,"Lippspringe, Bad","Nordrhein-Westfalen","0101000020E610000005C58F3177AD2140A323B9FC87E44940"
3031,"2004-07-01","2022-09-07",92,51.6336,8.3945,"Lippstadt-Bökenförde","Nordrhein-Westfalen","0101000020E6100000448B6CE7FBC92040705F07CE19D14940"
3081,"2007-12-01","2022-09-07",65,52.3452,8.6477,"Espelkamp-Isenstedt","Nordrhein-Westfalen","0101000020E6100000083D9B559F4B2140234A7B832F2C4A40"
3098,"1995-09-01","2022-09-07",387,51.2452,7.6425,"Lüdenscheid","Nordrhein-Westfalen","0101000020E610000052B81E85EB911E40567DAEB6629F4940"
3215,"2007-06-01","2022-09-07",375,51.1683,8.7125,"Medebach-Berge","Nordrhein-Westfalen","0101000020E6100000CDCCCCCCCC6C21405AF5B9DA8A954940"
3321,"2005-07-01","2022-09-07",77,51.1313,6.3609,"Mönchengladbach-Hilderath","Nordrhein-Westfalen","0101000020E61000006F8104C58F7119407FFB3A70CE904940"
3328,"2021-02-01","2022-09-07",19,51.4769,6.6101,"Moers-Repelen","Nordrhein-Westfalen","0101000020E61000008D28ED0DBE701A4030BB270F0BBD4940"
3339,"2006-09-01","2022-09-07",541,50.5202,6.2084,"Monschau-Kalterherberg","Nordrhein-Westfalen","0101000020E610000013F241CF66D518408AB0E1E995424940"
